resource_id,title,author,source,topic,reading_level,excerpt,keywords,language,format,summary,dictionary
RES-FIC-0019,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,Fiction,High School,"In my younger and more vulnerable years my father gave me some advice that I've been turning over in my mind ever since. 'Whenever you feel like criticizing any one,' he told me, 'just remember that all the people in this world haven't had the advantages that you've had.'","literature, novel, classics, 1920s, american-dream, fitzgerald",English,PDF,"A story of the mysterious millionaire Jay Gatsby and his tragic obsession with the beautiful Daisy Buchanan, exploring themes of wealth, love, and the American Dream in the 1920s.","{""vulnerable"": ""Susceptible to physical or emotional attack or harm.""}"
RES-FIC-0020,Pride and Prejudice,Jane Austen,T. Egerton Publishing,Fiction,High School,"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood...","novel, romance, classics, literature, austen",English,EPUB,"A romantic novel of manners following the turbulent relationship between Elizabeth Bennet and the wealthy, proud Mr. Darcy in 19th-century England.","{""universally"": ""By everyone; in every case.""}"
RES-FIC-0021,Frankenstein,Mary Shelley,"Lackington, Hughes & Co.",Fiction,High School,"You will rejoice to hear that no disaster has accompanied the commencement of an enterprise which you have regarded with such evil forebodings. I arrived here yesterday, and my first task is to assure my dear sister of my welfare.","novel, gothic, science-fiction, classics, mary-shelley",English,EPUB,"Mary Shelley's classic gothic novel detailing the tragic experiment of Victor Frankenstein as he creates a sentient creature, exploring the bounds of science and humanity.","{""commencement"": ""The beginning of something."", ""forebodings"": ""Feelings that something bad is going to happen.""}"
RES-FIC-0022,Moby-Dick,Herman Melville,Richard Bentley Publisher,Fiction,High School,"Call me Ishmael. Some years ago—never mind how long precisely—having little or no money in my purse, and nothing particular to interest me on shore, I thought I would sail about a little and see the watery part of the world.","literature, novel, classics, sea-faring, adventure, melville",English,EPUB,"A classic American novel recounting the quest of the obsessive Captain Ahab for revenge on Moby Dick, the giant white whale that bit off his leg.","{""precisely"": ""In a exact manner.""}"
RES-TEC-0023,The Mythical Man-Month,Fred Brooks,Addison-Wesley,Technology,Academic,"The tar pit of software engineering will continue to swallow projects and teams. No single tool or management technique is a silver bullet, but understanding the human aspects of programming remains our defense.","computer-science, software-engineering, management, programming, technology",English,PDF,"A classic collection of essays on software engineering project management, highlighting the famous law that adding programmers to a late project makes it later.","{""silver bullet"": ""A simple and seemingly magical solution to a complicated problem.""}"
RES-TEC-0024,Clean Code,Robert C. Martin,Prentice Hall,Technology,High School,"Bad code can ruin a development team. The clutter builds, productivity plunges, and eventually, the system must be completely rewritten. Writing clean code is not just a matter of rules; it requires craftsmanship.","programming, software-engineering, clean-code, agile, technology",English,EPUB,"A handbook of agile software craftsmanship that guides developers on how to write professional, clean, and maintainable code with practical examples.","{""craftsmanship"": ""Skill in a particular craft; professional execution quality.""}"
RES-TEC-0025,Introduction to Algorithms,"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein",MIT Press,Technology,Academic,"An algorithm is any well-defined computational procedure that takes some value, or set of values, as input and produces some value, or set of values, as output. An algorithm is thus a sequence of computational steps that transform the input into the output.","technology, computer-science, algorithms, mathematics, data-structures",English,PDF,"A comprehensive, rigorous introduction to the design and analysis of computer algorithms, widely used as a standard textbook in universities.","{""computational"": ""Relating to or using computers or mathematical calculation.""}"
RES-TEC-0026,Design Patterns,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides",Addison-Wesley,Technology,Academic,"Designing object-oriented software is hard, and designing reusable object-oriented software is even harder. You must find pertinent objects, factor them into classes at the right granularity, define class interfaces and inheritance hierarchies...","computer-science, programming, software-engineering, architecture, technology",English,PDF,A landmark computer science textbook describing 23 classic design patterns in object-oriented programming to solve common software design problems.,"{""pertinent"": ""Relevant or applicable to a particular matter."", ""granularity"": ""The scale or level of detail in a set of data or software model.""}"
RES-BIO-0027,Steve Jobs,Walter Isaacson,Simon & Schuster,Biography,High School,"By the time he was in his early twenties, Steve Jobs was already famous, rich, and eccentric. He had cofounded Apple Computer in his parents' garage, taken it public, and become the face of the personal computer revolution.","biography, technology, apple, silicon-valley, innovation, jobs",English,PDF,"The definitive biography of Apple co-founder Steve Jobs, detailing his intense personality, creative drive, and revolutionary impact on technology and media industries.","{""eccentric"": ""Unconventional and slightly strange behavior.""}"
RES-BIO-0028,Long Walk to Freedom,Nelson Mandela,"Little, Brown & Co",Biography,High School,"I was born on the eighteenth of July 1918 at Mvezo, a tiny village on the banks of the Mbashe River in the district of Umtata, the capital of the Transkei. The year of my birth was the end of the Great War.","biography, autobiography, apartheid, south-africa, civil-rights, mandela",English,EPUB,"The autobiography of Nelson Mandela, tracing his early life, his resistance against apartheid in South Africa, his 27 years of imprisonment, and his ultimate presidency.","{""apartheid"": ""A system of institutionalised racial segregation that existed in South Africa from 1948 until the early 1990s.""}"
RES-BIO-0029,The Autobiography of Malcolm X,"Malcolm X, Alex Haley",Grove Press,Biography,High School,"When my mother was pregnant with me, she told me later, a party of hooded Ku Klux Klan riders galloped up to our house in Omaha, Nebraska, brandishing shotguns and rifles.","biography, autobiography, civil-rights, race, history, malcolm-x",English,TXT,"The life story of the prominent African American activist Malcolm X, detailing his journey from street hustler to leader in the Nation of Islam and advocate for Black empowerment.","{""brandishing"": ""Wave or flourish something, especially a weapon, as a threat or in anger or excitement.""}"
RES-BIO-0030,Alexander Hamilton,Ron Chernow,Penguin Press,Biography,High School,"His life was a romance, a tragedy, a triumph, and a warning. He was the most brilliant and charismatic of the founding fathers, yet also the most self-destructive.","biography, history, america, founding-fathers, constitution, hamilton",English,PDF,"A comprehensive biography of the first U.S. Treasury Secretary, Alexander Hamilton, detailing his role in the American Revolution, the Constitution, and his legendary duel with Aaron Burr.","{""charismatic"": ""Exercising a compelling charm which inspires devotion in others.""}"
RES-PHI-0031,The Wealth of Nations,Adam Smith,W. Strahan and T. Cadell,Philosophy,Academic,"The greatest improvement in the productive powers of labour, and the greater part of the skill, dexterity, and judgment with which it is any where directed, or applied, seem to have been the effects of the division of labour.","economics, capitalism, markets, productivity, labor",English,PDF,"Adam Smith's foundational work on economics, describing the division of labor, productivity, and free markets as the key drivers of national wealth.","{""dexterity"": ""Skill in performing tasks, especially with the hands."", ""division of labour"": ""The assignment of different parts of a manufacturing process or task to different people in order to improve efficiency.""}"
RES-PHI-0032,Das Kapital,Karl Marx,Verlag von Otto Meissner,Philosophy,Academic,"The wealth of those societies in which the capitalist mode of production prevails, presents itself as an immense accumulation of commodities, its unit being a single commodity.","capitalism, labor, economics, class-struggle, marx",English,PDF,"Karl Marx's critical analysis of capitalism, examining how capital is accumulated, the exploitation of labor, and the division of classes.","{""capitalist"": ""A person who has capital, especially in business, and supports capitalism."", ""commodities"": ""Raw materials or primary agricultural products that can be bought and sold.""}"
RES-SCI-0033,The Interpretation of Dreams,Sigmund Freud,Franz Deuticke,Science,High School,"In the following pages I shall prove that there is a psychological technique which makes it possible to interpret dreams, and that on the application of this method every dream will reveal itself as a psychological structure, full of significance.","psychology, dreams, unconscious, mind, freud",English,PDF,"Sigmund Freud introduces his theory of the unconscious mind, arguing that dreams are forms of wish-fulfillment that can be systematically analyzed.","{""interpret"": ""Explain the meaning of information or actions."", ""unconscious"": ""The part of the mind which is inaccessible to the conscious mind but which affects behavior.""}"
RES-FIC-0034,Gitanjali,Rabindranath Tagore,India Society of London,Fiction,Middle School,"Thou hast made me endless, such is thy pleasure. This frail vessel thou emptiest again and again, and fillest it ever with fresh life. This little flute of a reed thou hast carried over hills and dales.","poetry, literature, tagore, spiritual, india",English,EPUB,"A collection of spiritual poems by Rabindranath Tagore, exploring devotion, humanity, nature, and the connection between the soul and the divine.","{""frail"": ""Weak and delicate."", ""vessel"": ""A container or ship, metaphorically representing the human body or soul.""}"
RES-FIC-0035,The Odyssey,Homer,Oxford University Press,Fiction,High School,"Tell me, O Muse, of that ingenious hero who travelled far and wide after he had sacked the famous town of Troy. Many cities did he visit, and many were the nations with whose manners and customs he was acquainted.","odyssey, homer, epic, greece, mythology, classics",English,EPUB,Homer's ancient Greek epic poem telling the story of Odysseus' ten-year journey home to Ithaca after the fall of Troy.,"{""ingenious"": ""Clever, original, and inventive."", ""sacked"": ""Dismissed or pillaged and destroyed by an army.""}"
RES-FIC-0036,The Prince and the Pauper,Mark Twain,Chatto & Windus,Fiction,Middle School,"In the ancient city of London, on a certain autumn day in the second quarter of the sixteenth century, a boy was born to a poor family of the name of Canty, who did not want him. On the same day another English child was born to a rich family of the name of Tudor, who did want him.","novel, classics, mark-twain, identity, historical-fiction",English,EPUB,"A classic novel where a young beggar named Tom Canty and Edward Tudor, the Prince of Wales, exchange identities, experiencing each other's lives.","{""pauper"": ""A very poor person."", ""tudor"": ""Relating to the English royal dynasty which ruled 1485\u20131603.""}"
RES-PHI-0037,The Art of War,Sun Tzu,Lionel Giles Translation,Philosophy,High School,"The art of war is of vital importance to the State. It is a matter of life and death, a road either to safety or to ruin. Hence it is a subject of inquiry which can on no account be neglected.","strategy, warfare, leadership, conflict, sun-tzu",English,PDF,"An ancient Chinese military treatise attributed to Sun Tzu, detailing strategies for warfare, diplomacy, and conflict resolution.","{""neglected"": ""Not receiving proper care or attention."", ""inquiry"": ""An act of asking for information.""}"
RES-SCI-0038,The Elements,Euclid,Cambridge University Press,Science,Academic,A point is that which has no part. A line is a breadthless length. The extremities of a line are points. A straight line is a line which lies evenly with the points on itself.,"mathematics, geometry, proofs, axioms, euclid",English,PDF,"An ancient mathematical treatise consisting of 13 books containing geometry definitions, axioms, theorems, and proofs that laid the foundation of mathematics.","{""breadthless"": ""Having no width or thickness."", ""extremities"": ""The furthest limits or points of something.""}"
RES-PHI-0039,Walden,Henry David Thoreau,Ticknor and Fields,Philosophy,High School,"I went to the woods because I wished to live deliberately, to front only the essential facts of life, and see if I could not learn what it had to teach, and not, when I came to die, discover that I had not lived.","nature, simplicity, thoreau, philosophy, transcendentalism",English,PDF,"Thoreau's reflection upon simple living in natural surroundings at Walden Pond, exploring self-reliance and transcendentalist philosophy.","{""deliberately"": ""Consciously and intentionally; in a careful and unhurried way."", ""essential"": ""Absolutely necessary; extremely important.""}"
RES-TEC-0040,Understanding Media,Marshall McLuhan,McGraw-Hill,Technology,Academic,"In a culture like ours, long accustomed to splitting and dividing all things as a means of control, it is sometimes a bit of a shock to be reminded that, in operational and practical fact, the medium is the message.","media, technology, communication, society, mcluhan",English,PDF,"Marshall McLuhan introduces the concept that the form of a medium embeds itself in any message it transmits, creating a symbiotic relationship.","{""medium"": ""An agency or means of doing something."", ""accustomed"": ""Customary or usual.""}"
